noise_std,W1_distance_avg,W2_distance_avg,L2_distance_avg,resolution
1e-07,2.0933451226106717e-06,0.000278735477459349,3.199692857247067e-06,32
1.5117750706156632e-07,3.1293848076377384e-06,0.0003407923707441375,4.824944215323378e-06,32
2.2854638641349884e-07,4.79022902869438e-06,0.00042189248471466873,7.3193071378085416e-06,32
3.4551072945922185e-07,7.202027017916147e-06,0.0005167312423687043,1.1046353715039462e-05,32
5.223345074266844e-07,1.0759526535012683e-05,0.0006330620855953996,1.6711620267882507e-05,32
7.896522868499733e-07,1.647306099456809e-05,0.0007824937679347715,2.5301689917275094e-05,32
1.1937766417144358e-06,2.4965755537067614e-05,0.0009637859714504532,3.8116379633569636e-05,32
1.8047217668271703e-06,3.743676023593364e-05,0.0011801001624627602,5.7814029708625634e-05,32
2.7283333764867697e-06,5.6550208987447064e-05,0.001449281094481318,8.712078899489763e-05,32
4.124626382901348e-06,8.575080543208059e-05,0.0017850830271338523,0.0001319874792512734,32
6.235507341273912e-06,0.00013110459127024319,0.002208389226158964,0.00020002576931515314,32
9.426684551178854e-06,0.00019870236580742527,0.0027173673833656093,0.0003013707866798196,32
1.4251026703029963e-05,0.00029590600632946085,0.0033170736881617726,0.00045574086616295977,32
2.1544346900318867e-05,0.0004493647598126701,0.004086681702240972,0.000690481979617966,32
3.257020655659783e-05,0.0006756498589721397,0.005017827006657309,0.001036911921178185,32
4.9238826317067415e-05,0.0010305410007663423,0.006197068009506319,0.001577590976594994,32
7.443803013251696e-05,0.001570522786021533,0.00767083804082332,0.002378826970090922,32
0.00011253355826007646,0.0023269558340333276,0.009347322063558847,0.003588295760268367,32
0.00017012542798525892,0.0035504802873231236,0.011602844822040681,0.005448761248176281,32
0.00025719138090593444,0.005333098662539769,0.01430027867871956,0.00825513566638941,32
0.00038881551803080893,0.008031814162795853,0.017756901815469035,0.012418923795664021,32
0.0005878016072274912,0.012216867895514596,0.022316412509614945,0.018730447653805795,32
0.0008886238162743407,0.018475899195932465,0.028031882289172593,0.028466302847222992,32
0.0013433993325989014,0.028219105537472314,0.03554424315574769,0.043038291813446344,32
0.002030917620904735,0.04256978955921784,0.04510029995858415,0.06517249582970772,32
0.00307029062975785,0.06373636548916671,0.05659102502081344,0.09823875340620694,32
0.004641588833612782,0.09508104847711461,0.07041274407181412,0.14854943091688136,32
0.007017038286703823,0.14629293687492384,0.08968701369533001,0.2246943339788678,32
0.010608183551394482,0.22165457717574277,0.11238840296229415,0.3382088074457969,32
0.016037187437513308,0.3373750659703575,0.1403607860639558,0.5133633073122744,32
0.02424462017082331,0.5004323400691691,0.17037302165806067,0.7758610980848906,32
0.03665241237079626,0.7481300442082466,0.20801841276238064,1.1731516788175405,32
0.05541020330009492,1.1520517271246753,0.26158440435569597,1.7767914618599583,32
0.08376776400682924,1.7134051798568262,0.31756191164039155,2.665445544547115,32
0.1266380173467402,2.663770657237232,0.4026660908885762,4.038722021496479,32
0.19144819761699575,4.044210328130736,0.49648235626120313,6.14447900537089,32
0.28942661247167517,5.944540666187753,0.5941677643622508,9.242392863467632,32
0.4375479375074189,9.167182321887829,0.7451195163973585,14.031180218264778,32
0.6614740641230146,13.81108982945919,0.917503827251258,21.041271013276365,32
1.0,20.53261009801567,1.1066229452631626,31.88147512827665,32
